lemma,HasProperty,MotivatedByGoal,CapableOf,NotUsedFor,HasFirstSubevent,Desires,InstanceOf,DerivedFrom,HasSubevent,RelatedTo,CausesDesire,MadeOf,SymbolOf,PartOf,EtymologicallyDerivedFrom,UsedFor,AtLocation,Synonym,IsA,Causes,TranslationOf
e04,,,,,,,,,,,,,,,,,,,,,
ㄏㄏ,,,,,,,,,,,,,,,,,,,,,
鬱鬱寡歡,,,,,,,,,,,,,,,,,,,,"難過,絕後,沒錢,得病,失業,分手",
鬱鬱不樂,,,,,,,,,,,,,,,,,,,,,
鬱結,,,,,,,,,,,,,,,,,,,,,
鬱悶,,"聽音樂,唱歌,吃東西,聊天,玩樂,喝酒,打電動,獨處",,,上酒店,,,,"傷心,低潮時",,下雨,,"憂鬱,抽菸",,,大叫,,,,"失戀,心情不好,沒錢,被罵,難過,單戀,生病,不快樂,傷心,很悶,上台演講,颱風,有心事",
鬱悒,,,,,,,,,,,,,,,,,,,,,
鬱卒,,"發洩,喝酒,玩遊戲,唱歌,聊天,大哭",傷心,,,,,,,,,,"悶,憂鬱",,,,,,,"難過,失戀,煩悶,吃醋,常被欺騙,苦悶,寂寞,生病,落榜,被當掉,失戀後,腦殘",
鬱,,,,,,,,,,,,,,,,,,,,,
驢,,,,,,,,,,,,,,,,,,,,,
讚譽,,,,,,,,,,,,,,,,,,,,,
讚賞,,"拍手,摸摸頭",,,,,,,,,,,,,,,,,"偉大,認同",,
讚歎,,,,,,,,,,,,,,,,,,,,,
讚嘆,,,,,,,,,水生館,,,,,,,,,,,企鵝,
讚揚,,,,,,,,,,,,,,,,,,,,,
讚美,,,,,,"眾神,正妹",,,看女高校制服,,看到正妹,"感動,尊嚴",,,,,光榮,,,"努力念書,言語,誠實,第一名,認真工作,成績單",
讚佩,,,,,,,,,,,,,,,,,,,,,
讚不絕口,,,,,,,,,,,,,,,,,,,,,
讚,辣,,,,,,,,,,,,"正妹,喜氣",,,,手勢,,看書,噴水,
矚望,,,,,,,,,,,,,,,,,,,,,
齷齪,,,,,,,,,,,,,,,,,,,,,
靈感,,"發呆,看書,看電影,去旅行,聽音樂",,,,"藝術家,作家,作者",,,,,寫作文,"相信音樂,藝術家",,,,,,,想法,"拜拜,東風,看電視,逛街,去資訊展,看片,聊天,讀書,看書,欣賞,上網,思想的對話,吃飯,知識",/c/en/inspiration/n/stimulating_influence_upon_the_intellect_or_emotions
靈敏,,,,,,,,,,,,,,,,,,,,,
靈活,"手,貓貓",,,,,,,,,,,,,,,,,,,"跳舞,運動",/c/en/active/a/quick_in_physical_movement
靈巧,"貓,手指,狐狸",,,,,,,,,,,,貓咪,,,,,,,,"/c/en/dexterous/a/skillful_with_one's_hands,/c/en/dexterity/n/skill_in_performing_tasks,_especially_with_the_hands"
艷羨,,,,,,,,,,,,,,,,,,,,,
體諒,,,親戚,,,,,,,,,"愛情,友情",,,,,家庭,,愛情,"愛,爭吵",
體會,,,,,寫耽美小說,,,,,,,,,,,,,,"付出,幸福,思念",生命,
體貼,情人,,"男朋友,女人,貓咪,老公",,,"女人,女朋友,情人",,,,,,"愛情,帥哥,美好的愛情,女朋友",,,,,,,"愛,73法則",愛,
體惜,,,,,,,,,,,,,,,,,,,,,
體面,,,,,,,,,,,,,,,,,,,,,
體恤,,,,,,,,,,,,,,,,,,,,,
驚懼,,,,,,,,,,,,,,,,,,,,,/c/en/scare/n/minor_fright
驚擾,,,,,,,,,,,,,,,,,,,,,
驚駭,,,,,,,,,,,,,,,,,,,,,"/c/en/frighten/a/afraid,_suffering_from_fear"
驚險,,,,,,,,,,,,,,,,,,,,,/c/en/breathtaking/a/stunningly_beautiful
驚歎,,,,,,,,,,,,,,,,,,,,,
驚魂未定,,,,,,,,,,,,,,,,,,,,地震,
驚疑,,,,,,,,,,,,,,,,,,,,,
驚嘆,,,,,,,,,看到彩紅,,,,,,,,,,,,
驚詫,,,,,,,,,,,,,,,,,,,,發現恐龍,
驚羨,,,,,,,,,,,,,,,,,,,,,
