synset.id,synset.lemma,lemma,POS,Polarity,Collocates,Similar_DSM_dependency,Cause,Result,Sense_num,Emotion_prob,A_Member_of,HYPO,Emily,Yvonne,Amber,MEAN,SD,SCALE,afverb1,afverb2,afverb3,bfverb1,bfverb2,bfverb3
,,愛,N,pos,"{適足以,克麗絲汀娜,成痴,莫迪尼亞尼,痛徹心扉,坦蕩蕩,怨憎,憎,近人,嘿咻}","{幸福,喜悅,快樂,恨,...}","{談戀愛,緣份,他長得好可愛,萌,帥,正妹,美景,家人,佳人,手足,神,好朋友,吸引力,奇蹟,神蹟,恩典}","{幸福感,活得有意義,結婚,結婚生子,懷孕,信仰,犧牲,救贖,決心,感動,奉獻,捐款,付出,赴湯蹈火,燃燒,珍惜,努力}",6,"{happy:0.80,sad:0.78,……}",,,3,3,3,3,0,1.926068113,"點(VC),黏(VC),鬧(VC)","鼓舞(VC),黑(VH),鹹(VH)","黃(VH),高(VH),體驗(VC)","鼓吹(VE),高喊(VE),高唱(VC)","高(VH),驗證(VE),饒恕(VC)","鼓勵(VF),點(VC),鬧(VC)"
,,愛,V,pos,"{適足以,克麗絲汀娜,成痴,莫迪尼亞尼,痛徹心扉,坦蕩蕩,怨憎,憎,近人,嘿咻}","{幸福,喜悅,快樂,恨,...}","{談戀愛,緣份,他長得好可愛,萌,帥,正妹,美景,家人,佳人,手足,神,好朋友,吸引力,奇蹟,神蹟,恩典}","{幸福感,活得有意義,結婚,結婚生子,懷孕,信仰,犧牲,救贖,決心,感動,奉獻,捐款,付出,赴湯蹈火,燃燒,珍惜,努力}",8,,happiness,,3,3,3,3,0,1.926068113,"點(VC),黏(VC),鬧(VC)","鼓舞(VC),黑(VH),鹹(VH)","黃(VH),高(VH),體驗(VC)","鼓吹(VE),高喊(VE),高唱(VC)","高(VH),驗證(VE),饒恕(VC)","鼓勵(VF),點(VC),鬧(VC)"
,,愛,A,pos,"{適足以,克麗絲汀娜,成痴,莫迪尼亞尼,痛徹心扉,坦蕩蕩,怨憎,憎,近人,嘿咻}","{幸福,喜悅,快樂,恨,...}","{談戀愛,緣份,他長得好可愛,萌,帥,正妹,美景,家人,佳人,手足,神,好朋友,吸引力,奇蹟,神蹟,恩典}","{幸福感,活得有意義,結婚,結婚生子,懷孕,信仰,犧牲,救贖,決心,感動,奉獻,捐款,付出,赴湯蹈火,燃燒,珍惜,努力}",2,,,,3,3,3,3,0,1.926068113,"點(VC),黏(VC),鬧(VC)","鼓舞(VC),黑(VH),鹹(VH)","黃(VH),高(VH),體驗(VC)","鼓吹(VE),高喊(VE),高唱(VC)","高(VH),驗證(VE),饒恕(VC)","鼓勵(VF),點(VC),鬧(VC)"
,,愛_1,N,neu,,,,,1,,,,0,3,3,2,1.732050808,1.464532915,,,,,,
,,快樂,V,pos,"{幸褔,吃出,敬祝,小燕子,新年,敬上,助人,您們,滿足感,祝}",,"{生日,放假,平安,健康}","{幸福,和樂,活的有意義}",1,,,"{愛,幸福,爽,滿足,喜愛,喜歡,愉快,歡喜,期待,嚮往,盼望,欣然,期望,著迷,入迷,想念,懷念,想要,心醉,甜蜜,高興,快活,狂喜,開心,雀躍,喜出望外,歡愉,暢快,歡悅,心曠神怡,愉悅,歡暢,開懷,喜悅,歡欣,心花怒放,驚喜,欣喜,甜美,爽快,舒暢,痛快,快意,豁朗,可喜,舒坦,仰慕,慶幸,眷戀,入神,好受,期求}",3,3,3,3,0,1.926068113,"需要(VK),長(VH),過日子(VA)","高興(VK),驕傲(VH),飄飄欲仙(VH)","鳴唱(VC),餓(VH),順應(VJ)","體驗到(VK),體會(VK),露出(VC)","龐大(VH),高興(VK),飛回(VCL)","鬧(VC),體會到(VK),驕傲(VH)"
,,幸福,V,pos,"{幸福毯,永恒,美滿,拼湊,歸宿,育有,罕亮月吞,不知所措,謀,快樂}",,,,1,,happiness,,3,3,3,3,0,1.926068113,"這樣(VH),追求(VC),說(VE)","願意(VK),關心(VK),長大(VH)","高興(VK),騙(VC),靜靜(VH)","顯得(VK),靠近(VC),露出(VC)","養(VC),飽滿(VH),靜謐(VH)","體驗(VC),養(VC),願(VK)"
,,爽,V,pos,"{爽,喜事,呼,做愛,逢,跑,氣,喝,真,女人}",,,,3,,happiness,,3,3,3,3,0,1.926068113,"迷人(VH),等於(VG),涼(VH)","講(VE),碰上(VC),爽(VH)","麻煩(VHC),這樣(VH),說穿(VC)","酸(VH),送(VD),賺(VC)","高(VH),跑步(VA),調和出(VC)","開(VC),逢(VJ),通(VH)"
,,爽_1,V,neg,,,,,2,,,,-3,3,3,1,3.464101615,1.002997716,,,,,,
,,滿足,V,pos,"{虛榮心,私慾,口腹之慾,好奇心,都市人,較諸,需求,快感,欲望,方程}",,,,2,,happiness,,3,3,3,3,0,1.926068113,"高(VH),領導(VC),重(VH)","麻痺(VH),高高在上(VH),需要(VK)","高亢(VH),高(VH),驕傲(VH)","體會(VK),面對(VC),非(VG)","馬殺雞(VB),露出(VC),難(VH)","高居不下(VH),飽和(VH),飛去(VCL)"
,,喜愛,V,pos,"{饕客,廣受,深受,深得,討,同好,樂迷,年畫,時下,影迷}",,"{看電影,旅行,閱讀,蒐集,看書,自由行,擁抱,交朋友,溝通,游泳,聊天,上網,唱歌,結交,放假,旅遊,出外,煮飯,打球,觀看,走路,喝,看看,吃到,出國,純愛,追憶,高挑,尊敬,電玩,解讀,追逐,拍照,理財,登山,打牌,跑,親近,推廣,探討,外出,爬,體驗,跳舞,觀賞,從事,睡,摸,練,散步,吃,冒險,爬山,拍攝,發現,感謝,習慣,接受,認識}","{支持,成長,累積,專家,興趣,動力,幸福,快樂}",1,,happiness,,3,3,3,3,0,1.926068113,"體驗(VC),露營(VA),開(VC)","難(VH),重視(VJ),配合(VC)","高貴(VH),高大(VH),飲酒(VA)","選擇(VC),適合(VH),遇見(VC)","體諒(VK),養成(VC),飲茶(VA)","鹿死誰手(VH),養(VC),需要(VK)"
